#./transfer/case_1_50_10_5_3
set N0 = 0;
set N1 = 1  2  3  4  6  7  9  10  11  12  13  14  15  16  17  19  20  21  22  23  24  25  26  27  28  30  31  32  33  34  35  36  37  38  39  40  41  42  43  45  ;
set N2 = 5  8  18  29  44  46  49  50  48  47  ;
set Shared1:= 5  8  18  29  44  ;
set Shared2:= 46  49  50  48  47  ;
set Shared_Visited:= (5,46),(8,49),(18,50),(29,48),(44,47),;
param kn:= 10;
param dn:= 3;
param T:= 672;
param s_id:	1	2	3	:=
0	0	0	0	
1	62	62	62	
2	122	122	122	
3	69	69	69	
4	118	118	118	
5	27	27	27	
6	93	93	93	
7	43	43	43	
8	75	75	75	
9	98	98	98	
10	85	85	85	
11	55	55	55	
12	78	78	78	
13	63	63	63	
14	87	87	87	
15	91	91	91	
16	13	13	13	
17	89	89	89	
18	72	72	72	
19	36	36	36	
20	24	24	24	
21	101	101	101	
22	45	45	45	
23	55	55	55	
24	83	83	83	
25	102	102	102	
26	49	49	49	
27	41	41	41	
28	103	103	103	
29	88	88	88	
30	81	81	81	
31	73	73	73	
32	145	145	145	
33	37	37	37	
34	53	53	53	
35	37	37	37	
36	32	32	32	
37	99	99	99	
38	69	69	69	
39	37	37	37	
40	80	80	80	
41	45	45	45	
42	63	63	63	
43	94	94	94	
44	75	75	75	
45	50	50	50	
46	27	27	27	
47	75	75	75	
48	88	88	88	
49	75	75	75	
50	72	72	72	
;
param t_ij:  0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	:=
0	0	23	25	16	13	20	16	22	16	18	22	21	20	20	20	19	18	21	26	22	19	18	7	14	15	21	21	15	16	11	18	12	19	27	19	11	3	13	22	16	29	23	17	19	16	27	20	16	11	16	26
1	23	10000	47	27	19	26	33	42	28	26	43	10	12	31	19	41	33	39	34	4	14	8	25	34	27	42	42	34	25	33	36	23	34	8	34	31	21	17	43	14	7	2	12	37	14	8	26	14	33	28	34
2	25	47	10000	33	35	33	25	10	31	36	16	44	45	33	39	11	23	23	33	47	43	42	24	15	28	16	12	21	30	15	18	31	24	52	28	18	27	36	13	40	54	48	39	24	38	52	33	38	15	31	33
3	16	27	33	10000	9	35	9	34	3	4	21	31	17	5	34	23	33	15	42	24	15	27	23	27	31	20	23	13	32	23	32	6	35	27	9	24	18	11	23	13	31	27	28	12	28	27	35	28	23	3	42
4	13	19	35	9	10000	30	15	34	10	8	26	23	10	13	27	26	30	22	37	16	8	19	19	26	27	25	27	17	27	23	30	5	32	20	16	23	14	3	28	6	23	19	20	19	21	19	30	21	23	10	37
5	20	26	33	35	30	10000	35	25	35	37	38	17	32	39	9	32	11	39	9	28	32	18	14	20	7	37	35	33	4	21	16	30	11	33	38	18	17	29	37	30	32	27	14	38	12	33	10000	12	21	35	9
6	16	33	25	9	15	35	10000	28	7	12	13	35	25	8	36	15	31	7	40	31	23	32	22	22	30	12	15	5	32	19	29	11	32	34	4	21	19	17	15	20	38	33	31	4	31	34	35	31	19	7	40
7	22	42	10	34	34	25	28	10000	32	37	22	37	42	35	31	16	14	28	23	43	40	36	18	9	20	22	18	24	22	11	9	31	15	48	31	12	23	34	19	38	49	44	33	28	31	48	25	31	11	32	23
8	16	28	31	3	10	35	7	32	10000	6	19	31	19	5	33	21	32	13	41	25	17	28	22	25	30	18	21	11	31	22	31	6	34	29	7	23	18	12	21	15	32	28	28	10	29	28	35	29	22	10000	41
9	18	26	36	4	8	37	12	37	6	10000	24	31	15	6	34	26	36	18	43	23	13	27	25	30	33	23	26	16	34	26	35	7	37	25	11	27	20	10	26	12	29	25	28	15	29	25	37	29	26	6	43
10	22	43	16	21	26	38	13	22	19	24	10000	42	36	20	40	7	30	8	40	41	34	39	24	20	32	2	4	9	34	17	26	22	31	45	14	20	24	28	3	31	48	43	38	10	37	45	38	37	17	19	40
11	21	10	44	31	23	17	35	37	31	31	42	10000	20	35	9	39	26	41	25	14	21	4	20	30	19	41	41	35	17	29	29	26	26	18	37	27	19	21	42	20	16	12	5	38	6	18	17	6	29	31	25
12	20	12	45	17	10	32	25	42	19	15	36	20	10000	21	27	36	36	31	40	9	3	17	25	34	31	35	37	27	30	31	37	15	37	10	26	30	20	9	38	5	14	11	20	29	21	10	32	21	31	19	40
13	20	31	33	5	13	39	8	35	5	6	20	35	21	10000	38	23	36	13	45	28	19	32	26	29	34	19	22	12	35	25	35	10	38	31	6	27	22	15	22	18	35	31	32	10	33	31	39	33	25	5	45
14	20	19	39	34	27	9	36	31	33	34	40	9	27	38	10000	36	19	40	17	22	27	11	17	25	12	40	38	34	10	25	23	28	19	26	38	22	17	25	40	25	25	20	8	39	6	26	9	6	25	33	17
15	19	41	11	23	26	32	15	16	21	26	7	39	36	23	36	10000	24	13	34	40	34	36	20	14	26	7	3	11	29	12	20	22	25	44	17	15	21	27	5	31	46	41	34	14	34	44	32	34	12	21	34
16	18	33	23	33	30	11	31	14	32	36	30	26	36	36	19	24	10000	33	11	34	35	26	11	11	7	29	27	27	9	13	5	29	2	40	34	11	17	30	28	32	39	34	22	33	20	39	11	20	13	32	11
17	21	39	23	15	22	39	7	28	13	18	8	41	31	13	40	13	33	10000	43	37	29	38	25	24	34	7	11	7	35	21	30	17	35	41	7	23	24	24	11	27	44	39	37	3	37	41	39	37	21	13	43
18	26	34	33	42	37	9	40	23	41	43	40	25	40	45	17	34	11	43	10000	37	40	27	19	21	11	39	37	37	11	23	15	37	10	42	43	21	24	36	39	38	41	36	23	42	21	42	9	21	23	41	10000
19	22	4	47	24	16	28	31	43	25	23	41	14	9	28	22	40	34	37	37	10000	10	11	25	35	28	40	41	32	27	33	37	21	35	6	32	31	21	14	42	11	7	3	15	35	17	5	28	17	33	25	37
20	19	14	43	15	8	32	23	40	17	13	34	21	3	19	27	34	35	29	40	10	10000	17	24	32	30	33	35	25	29	30	36	13	36	12	23	29	19	7	35	3	16	13	20	26	21	12	32	21	30	17	40
21	18	8	42	27	19	18	32	36	28	27	39	4	17	32	11	36	26	38	27	11	17	10000	19	28	19	38	38	32	18	27	29	22	26	16	34	25	16	18	40	17	15	10	5	35	6	15	18	6	27	28	27
22	7	25	24	23	19	14	22	18	22	25	24	20	25	26	17	20	11	25	19	25	24	19	10000	10	9	24	22	19	10	9	12	18	13	31	25	7	6	19	24	22	31	26	16	24	15	30	14	15	9	22	19
23	14	34	15	27	26	20	22	9	25	30	20	30	34	29	25	14	11	24	21	35	32	28	10	10000	14	19	17	18	16	4	7	23	12	40	26	4	14	26	18	29	41	35	25	23	24	40	20	24	4	25	21
24	15	27	28	31	27	7	30	20	30	33	32	19	31	34	12	26	7	34	11	28	30	19	9	14	10000	31	29	27	3	15	11	26	8	34	33	12	13	26	31	27	33	28	15	32	14	33	7	14	15	30	11
25	21	42	16	20	25	37	12	22	18	23	2	41	35	19	40	7	29	7	39	40	33	38	24	19	31	10000	4	8	33	17	26	21	31	44	13	19	23	27	4	30	47	42	37	9	36	44	37	36	17	18	39
26	21	42	12	23	27	35	15	18	21	26	4	41	37	22	38	3	27	11	37	41	35	38	22	17	29	4	10000	11	31	14	23	23	28	46	17	17	23	28	2	32	48	43	36	13	36	45	35	36	14	21	37
27	15	34	21	13	17	33	5	24	11	16	9	35	27	12	34	11	27	7	37	32	25	32	19	18	27	8	11	10000	29	15	25	13	29	36	8	17	17	19	11	23	39	34	31	6	30	36	33	30	15	11	37
28	16	25	30	32	27	4	32	22	31	34	34	17	30	35	10	29	9	35	11	27	29	18	10	16	3	33	31	29	10000	17	13	27	9	33	34	14	14	26	33	27	32	27	14	34	12	32	4	12	17	31	11
29	11	33	15	23	23	21	19	11	22	26	17	29	31	25	25	12	13	21	23	33	30	27	9	4	15	17	14	15	17	10000	10	20	15	38	22	3	12	24	16	27	39	34	25	20	24	38	21	24	10000	22	23
30	18	36	18	32	30	16	29	9	31	35	26	29	37	35	23	20	5	30	15	37	36	29	12	7	11	26	23	25	13	10	10000	28	6	42	32	9	17	30	24	33	42	37	25	30	23	42	16	23	10	31	15
31	12	23	31	6	5	30	11	31	6	7	22	26	15	10	28	22	29	17	37	21	13	22	18	23	26	21	23	13	27	20	28	10000	30	24	12	20	13	7	23	10	27	23	23	14	23	24	30	23	20	6	37
32	19	34	24	35	32	11	32	15	34	37	31	26	37	38	19	25	2	35	10	35	36	26	13	12	8	31	28	29	9	15	6	30	10000	41	35	12	18	31	30	33	40	35	22	34	21	40	11	21	15	34	10
33	27	8	52	27	20	33	34	48	29	25	45	18	10	31	26	44	40	41	42	6	12	16	31	40	34	44	46	36	33	38	42	24	41	10000	35	37	26	18	46	14	5	7	20	38	22	1	33	22	38	29	42
34	19	34	28	9	16	38	4	31	7	11	14	37	26	6	38	17	34	7	43	32	23	34	25	26	33	13	17	8	34	22	32	12	35	35	10000	24	22	18	16	21	39	34	33	4	34	35	38	34	22	7	43
35	11	31	18	24	23	18	21	12	23	27	20	27	30	27	22	15	11	23	21	31	29	25	7	4	12	19	17	17	14	3	9	20	12	37	24	10000	11	23	19	26	37	32	22	22	21	36	18	21	3	23	21
36	3	21	27	18	14	17	19	23	18	20	24	19	20	22	17	21	17	24	24	21	19	16	6	14	13	23	23	17	14	12	17	13	18	26	22	11	10000	14	24	16	27	22	14	22	14	26	17	14	12	18	24
37	13	17	36	11	3	29	17	34	12	10	28	21	9	15	25	27	30	24	36	14	7	18	19	26	26	27	28	19	26	24	30	7	31	18	18	23	14	10000	29	4	21	17	19	21	20	18	29	20	24	12	36
38	22	43	13	23	28	37	15	19	21	26	3	42	38	22	40	5	28	11	39	42	35	40	24	18	31	4	2	11	33	16	24	23	30	46	16	19	24	29	10000	33	49	44	38	13	37	46	37	37	16	21	39
39	16	14	40	13	6	30	20	38	15	12	31	20	5	18	25	31	32	27	38	11	3	17	22	29	27	30	32	23	27	27	33	10	33	14	21	26	16	4	33	10000	18	14	19	24	20	14	30	20	27	15	38
40	29	7	54	31	23	32	38	49	32	29	48	16	14	35	25	46	39	44	41	7	16	15	31	41	33	47	48	39	32	39	42	27	40	5	39	37	27	21	49	18	10000	6	19	41	20	5	32	20	39	32	41
41	23	2	48	27	19	27	33	44	28	25	43	12	11	31	20	41	34	39	36	3	13	10	26	35	28	42	43	34	27	34	37	23	35	7	34	32	22	17	44	14	6	10000	14	37	16	6	27	16	34	28	36
42	17	12	39	28	20	14	31	33	28	28	38	5	20	32	8	34	22	37	23	15	20	5	16	25	15	37	36	31	14	25	25	23	22	20	33	22	14	19	38	19	19	14	10000	34	2	19	14	2	25	28	23
43	19	37	24	12	19	38	4	28	10	15	10	38	29	10	39	14	33	3	42	35	26	35	24	23	32	9	13	6	34	20	30	14	34	38	4	22	22	21	13	24	41	37	34	10000	34	38	38	34	20	10	42
44	16	14	38	28	21	12	31	31	29	29	37	6	21	33	6	34	20	37	21	17	21	6	15	24	14	36	36	30	12	24	23	23	21	22	34	21	14	20	37	20	20	16	2	34	10000	21	12	10000	24	29	21
45	27	8	52	27	19	33	34	48	28	25	45	18	10	31	26	44	39	41	42	5	12	15	30	40	33	44	45	36	32	38	42	24	40	1	35	36	26	18	46	14	5	6	19	38	21	10000	33	21	38	28	42
46	20	26	33	35	30	10000	35	25	35	37	38	17	32	39	9	32	11	39	9	28	32	18	14	20	7	37	35	33	4	21	16	30	11	33	38	18	17	29	37	30	32	27	14	38	12	33	10000	12	21	35	9
47	16	14	38	28	21	12	31	31	29	29	37	6	21	33	6	34	20	37	21	17	21	6	15	24	14	36	36	30	12	24	23	23	21	22	34	21	14	20	37	20	20	16	2	34	10000	21	12	10000	24	29	21
48	11	33	15	23	23	21	19	11	22	26	17	29	31	25	25	12	13	21	23	33	30	27	9	4	15	17	14	15	17	10000	10	20	15	38	22	3	12	24	16	27	39	34	25	20	24	38	21	24	10000	22	23
49	16	28	31	3	10	35	7	32	10000	6	19	31	19	5	33	21	32	13	41	25	17	28	22	25	30	18	21	11	31	22	31	6	34	29	7	23	18	12	21	15	32	28	28	10	29	28	35	29	22	10000	41
50	26	34	33	42	37	9	40	23	41	43	40	25	40	45	17	34	11	43	10000	37	40	27	19	21	11	39	37	37	11	23	15	37	10	42	43	21	24	36	39	38	41	36	23	42	21	42	9	21	23	41	10000
;
param w_id:	1	2	3	:=
1	0	1	1	
2	1	0	1	
3	0	0	1	
