#./transfer/case_5_20_4_2_4
set N0 = 0;
set N1 = 1  2  3  5  6  7  8  9  11  12  13  14  15  16  17  18  ;
set N2 = 4  10  19  20  ;
set Shared1:= 4  10  ;
set Shared2:= 19  20  ;
set Shared_Visited:= (4,19),(10,20),;
param kn:= 4;
param dn:= 3;
param T:= 717;
param s_id:	1	2	3	:=
0	0	0	0	
1	72	72	72	
2	52	52	52	
3	87	87	87	
4	104	104	104	
5	101	101	101	
6	20	20	20	
7	104	104	104	
8	103	103	103	
9	48	48	48	
10	88	88	88	
11	71	71	71	
12	54	54	54	
13	49	49	49	
14	97	97	97	
15	51	51	51	
16	116	116	116	
17	75	75	75	
18	118	118	118	
19	104	104	104	
20	88	88	88	
;
param t_ij:  0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	:=
0	0	17	12	15	20	29	16	9	19	19	17	15	18	24	12	17	14	6	13	20	17
1	17	10000	18	24	12	36	26	22	3	22	14	24	11	28	28	7	20	19	14	12	14
2	12	18	10000	6	14	40	28	21	19	8	25	6	12	13	21	14	25	18	22	14	25
3	15	24	6	10000	18	43	31	23	24	8	30	1	17	10	22	19	29	21	27	18	30
4	20	12	14	18	10000	45	34	28	11	14	24	18	3	18	31	6	28	25	24	10000	24
5	29	36	40	43	45	10000	13	20	38	48	23	43	43	52	23	40	17	23	22	45	23
6	16	26	28	31	34	13	10000	8	29	35	16	30	31	40	12	30	8	10	13	34	16
7	9	22	21	23	28	20	8	10000	24	28	15	23	25	33	8	24	8	3	11	28	15
8	19	3	19	24	11	38	29	24	10000	22	16	24	10	27	30	6	22	22	17	11	16
9	19	22	8	8	14	48	35	28	22	10000	31	8	13	6	28	16	32	25	29	14	31
10	17	14	25	30	24	23	16	15	16	31	10000	29	22	37	22	19	9	14	4	24	10000
11	15	24	6	1	18	43	30	23	24	8	29	10000	17	11	22	19	28	20	26	18	29
12	18	11	12	17	3	43	31	25	10	13	22	17	10000	18	29	4	26	22	22	3	22
13	24	28	13	10	18	52	40	33	27	6	37	11	18	10000	32	21	37	30	35	18	37
14	12	28	21	22	31	23	12	8	30	28	22	22	29	32	10000	28	15	9	18	31	22
15	17	7	14	19	6	40	30	24	6	16	19	19	4	21	28	10000	24	21	19	6	19
16	14	20	25	29	28	17	8	8	22	32	9	28	26	37	15	24	10000	9	6	28	9
17	6	19	18	21	25	23	10	3	22	25	14	20	22	30	9	21	9	10000	10	25	14
18	13	14	22	27	24	22	13	11	17	29	4	26	22	35	18	19	6	10	10000	24	4
19	20	12	14	18	10000	45	34	28	11	14	24	18	3	18	31	6	28	25	24	10000	24
20	17	14	25	30	24	23	16	15	16	31	10000	29	22	37	22	19	9	14	4	24	10000
;
param w_id:	1	2	3	:=
1	1	1	1	
2	0	0	1	
3	1	0	1	
4	1	0	1	
5	0	0	1	
6	0	1	1	
7	0	1	1	
8	1	0	1	
9	0	1	1	
10	1	1	1	
11	1	1	1	
12	1	1	1	
13	0	1	1	
14	0	1	1	
15	1	1	1	
16	1	1	0	
17	1	0	1	
18	1	0	1	
19	1	0	1	
20	1	1	1	
;
param e_id:	1	2	3	:=
0	0	0	0	
1	0	0	0	
2	16	16	16	
3	22	22	22	
4	192	192	192	
5	239	239	239	
6	0	0	0	
7	0	0	0	
8	55	55	55	
9	125	125	125	
10	205	205	205	
11	0	0	0	
12	0	0	0	
13	450	450	450	
14	305	305	305	
15	462	462	462	
16	0	0	0	
17	454	454	454	
18	246	246	246	
19	192	192	192	
20	205	205	205	
;
param l_id:	1	2	3	:=
0	717	717	717	
1	121	121	121	
2	240	240	240	
3	363	363	363	
4	455	455	455	
5	555	555	555	
6	118	118	118	
7	196	196	196	
8	294	294	294	
9	417	417	417	
10	548	548	548	
11	194	194	194	
12	286	286	286	
13	752	752	752	
14	639	639	639	
15	724	724	724	
16	132	132	132	
17	646	646	646	
18	523	523	523	
19	455	455	455	
20	548	548	548	
;
param prefer_id:	1	2	3	4	:=
1		-9.42347		-0.80002		-5.2011		-4.13263
2		8.53706		9.19274		-8.14578		-1.31223
3		8.55408		6.5477		9.05095		-0.306303
4		-6.31048		8.77478		-0.567433		2.19505
5		3.95533		6.4935		4.97244		2.3899
6		1.16926		-6.43385		7.65384		4.89543
7		7.95614		-1.83725		5.92016		5.78581
8		6.50175		2.84219		-9.51795		2.01825
9		2.68975		-6.23615		-6.04383		1.73935
10		1.96874		3.20495		-0.168303		4.30761
11		-9.64469		8.97857		9.39483		6.39513
12		-7.76861		6.05554		6.94936		3.75604
13		-6.97893		-5.03931		-5.69919		-7.01404
14		-0.414351		6.14468		5.49226		0.0381101
15		9.87628		7.67225		6.56111		-1.70697
16		6.28036		4.63168		-1.73407		1.17945
17		7.68039		-8.85388		-5.3794		-8.43716
18		-2.93338		3.14185		-1.52642		9.72703
19		-6.31048		8.77478		-0.567433		2.19505
20		1.96874		3.20495		-0.168303		4.30761
;
